customer_id;age;gender;subscription_type;watch_hours;last_login_days;region;device;monthly_fee;payment_method;number_of_profiles;avg_watch_time_per_day;favorite_genre
60559y1a-4093-4379-9e24-x2f033256395;59;Other;Premium;28,38;52;Africa;Tablet;17,99;PayPal;4;0,54;Drama
842yayxe-7763-4505-zef1-538xexx13ze7;32;Male;Basic;3,87;32;South America;TV;8,99;Credit Card;2;0,12;Drama
73772xx0-a793-479a-a5fa-51423747291a;56;Other;Premium;1,28;22;Africa;Desktop;17,99;PayPal;5;0,06;Action
52aa9ay1-8625-4421-8x2y-3ex00yf83389;45;Male;Premium;3,31;34;Oceania;Tablet;17,99;Gift Card;2;0,09;Drama
72452f35-f1ef-4881-a0f6-xf6xe0351844;66;Male;Premium;22,68;50;Europe;Laptop;17,99;PayPal;4;0,44;Documentary
fxf130y6-yx3y-434z-azzf-4645y8ya928x;33;Female;Premium;11,02;22;Africa;TV;17,99;Gift Card;4;0,48;Drama
f3xx9f07-99ya-4425-8eaa-62f1a949e8z1;36;Other;Premium;23,5;1;Oceania;Laptop;17,99;PayPal;1;11,75;Action
f67z2663-yy48-4x48-a855-fy3e1e323a0f;54;Male;Basic;5,47;36;South America;Mobile;8,99;Credit Card;1;0,15;Comedy
xa8y00ey-40z0-400a-90z6-ex24z0z37y89;61;Male;Standard;21,36;39;Asia;Tablet;13,99;Debit Card;3;0,53;Comedy
6ze0z14y-eaea-4580-z845-457xf93zz828;53;Male;Standard;16,62;44;Africa;TV;13,99;PayPal;5;0,37;Drama
134e6a09-9723-4652-9213-fzfeyaa84377;55;Female;Standard;8,26;32;Africa;Laptop;13,99;PayPal;4;0,25;Drama
31563z13-7y8x-41y6-zxf2-6a1a554574yx;42;Female;Basic;8,5;32;Asia;Desktop;8,99;PayPal;2;0,26;Comedy
ye40f5f8-42ee-44e2-z754-zx3a626yf48x;22;Male;Premium;8,84;52;Europe;Desktop;17,99;Credit Card;2;0,17;Comedy
2682y90e-8e16-4yz6-88ae-1348yx5a62fz;19;Female;Premium;6,49;34;North America;Tablet;17,99;Gift Card;1;0,19;Romance
84yzf173-x71y-49yf-z015-0ea96838663a;20;Male;Standard;8,47;53;North America;TV;13,99;Gift Card;2;0,16;Horror
55587yf4-5322-467e-8066-2ay35e023421;36;Other;Standard;31,46;47;Oceania;Desktop;13,99;PayPal;3;0,66;Comedy
72y5f29z-8e0a-4z81-99y2-6xz14fx602a6;40;Male;Standard;13,4;49;Africa;Mobile;13,99;Crypto;1;0,27;Documentary
f1e8f248-727x-47f5-92xa-x6f7610yfy5z;37;Female;Basic;7,36;38;Oceania;Laptop;8,99;Debit Card;2;0,19;Romance
1yz5y1a8-8724-4exy-8255-06z1152f5xea;21;Male;Basic;5,1;53;Europe;Tablet;8,99;PayPal;3;0,09;Documentary
72e27837-1995-4843-8284-faxf89a8yfe8;20;Female;Premium;4,39;33;Oceania;Mobile;17,99;Gift Card;1;0,13;Horror
40e78z9f-z88z-4ez9-z6xx-f288901z072x;35;Female;Standard;8,39;0;Africa;TV;13,99;Credit Card;2;8,39;Comedy
y82yz034-7y20-47af-901e-91379x90a183;31;Other;Basic;5,12;12;North America;TV;8,99;Debit Card;5;0,39;Action
6x9e258x-3110-475f-ay1y-1eza0f56z7e8;63;Female;Standard;1,33;29;Asia;Laptop;13,99;Credit Card;3;0,04;Horror
a9661z26-x812-406e-a1e2-58f640879a0a;21;Female;Standard;3,88;0;Africa;Mobile;13,99;Crypto;1;3,88;Action
747x7z40-97z1-4207-923y-72x5y3e65343;28;Male;Standard;19,03;17;Europe;Laptop;13,99;Gift Card;2;1,06;Drama
8za94xax-4f0e-4aaf-z8x5-y8z4xez2195z;61;Other;Standard;4,08;35;Oceania;Mobile;13,99;Gift Card;3;0,11;Sci-Fi
yx2fze59-0226-47ay-83f9-3aax8fxx9fx1;62;Other;Premium;4,31;47;Asia;Mobile;17,99;Debit Card;5;0,09;Action
e443y6z3-1x47-4274-z231-23f2ffe08xy9;38;Female;Premium;1,18;4;Africa;Mobile;17,99;Debit Card;3;0,24;Action
7fxaye55-3767-41x2-85x3-e43a5exxexe6;18;Female;Basic;35,52;40;South America;Tablet;8,99;Crypto;3;0,87;Action
85x2824e-34z3-4e81-8e27-x1426f49ae4z;31;Male;Premium;4,6;1;South America;Desktop;17,99;Gift Card;1;2,3;Sci-Fi
4z1e6601-z97e-479z-z01y-5228f3y6681e;47;Other;Premium;14,24;37;Africa;Tablet;17,99;Gift Card;2;0,37;Documentary
fa19687z-872y-4163-a900-59f1z4098ex9;49;Female;Basic;2,9;46;Asia;Mobile;8,99;Debit Card;2;0,06;Horror
90z17z2a-6z37-4913-ayz5-70z9a7fz7400;30;Female;Basic;24,74;17;Oceania;Laptop;8,99;Credit Card;5;1,37;Comedy
f2x0a49a-a99x-440y-8495-66a3e2e4x7f9;22;Other;Basic;2,93;27;Asia;TV;8,99;Gift Card;2;0,1;Sci-Fi
79f6a459-5e71-40e9-831a-8657ex6f160z;61;Other;Standard;5,98;1;North America;Tablet;13,99;Gift Card;5;2,99;Romance
fx3y898e-3zfx-453z-z00e-839eaf2xx443;59;Other;Premium;24,59;49;North America;Desktop;17,99;Crypto;3;0,49;Romance
x88332z4-4x6a-49a9-a74y-55a5x43f3785;42;Male;Premium;18,17;2;South America;Laptop;17,99;Crypto;4;6,06;Sci-Fi
ax1x5a11-4a28-49fe-az0x-9x9708af9ae4;21;Female;Basic;13,97;14;North America;Laptop;8,99;Credit Card;3;0,93;Romance
f5a0302a-6xf7-4yax-z563-199ax2af75xa;35;Male;Basic;4,58;42;South America;Tablet;8,99;Credit Card;4;0,11;Romance
2xaz7xz6-0652-42aa-9zzx-y685faxya648;32;Other;Basic;17,18;22;Africa;TV;8,99;Crypto;4;0,75;Romance
123f622f-26f1-431x-zy19-2219y6e7fy86;65;Female;Premium;4,89;6;Asia;TV;17,99;Gift Card;1;0,7;Documentary
4z9x865e-50f1-447e-8e49-89x2y6ayx3z3;59;Other;Standard;6,77;22;Oceania;Tablet;13,99;Debit Card;1;0,29;Sci-Fi
4891e3y6-f53z-45af-ax62-12572f687302;70;Other;Basic;1,28;52;Asia;Mobile;8,99;Credit Card;5;0,02;Action
2e3a45z3-z511-42xx-z3e3-e9ye9x182z7a;63;Male;Premium;8,54;51;North America;Tablet;17,99;Credit Card;5;0,16;Documentary
5519a119-ya14-4ya1-9518-40az23x4ea93;29;Other;Basic;17,58;2;Europe;Desktop;8,99;PayPal;1;5,86;Action
yyaxex82-6e9z-4863-z165-yz90yz39fx26;30;Other;Basic;9,28;44;North America;Tablet;8,99;PayPal;4;0,21;Action
52y7f909-500a-4y6x-851x-e504y27ey859;52;Other;Basic;6,18;41;South America;Tablet;8,99;Gift Card;3;0,15;Comedy
x019zz17-y284-4z18-z15e-a8625a16x93f;49;Other;Standard;5,88;40;North America;Mobile;13,99;Crypto;2;0,14;Action
efe01zyx-e159-4494-a1x3-6e8432a0y269;33;Male;Standard;2,86;30;Europe;Tablet;13,99;Gift Card;5;0,09;Drama
552fz14y-y171-4f05-895a-61x49233686z;22;Female;Basic;3,71;28;Europe;TV;8,99;Crypto;1;0,13;Horror
99e08a07-x0xe-46y9-997x-1fz9452zea46;29;Male;Basic;1,7;43;South America;Mobile;8,99;Debit Card;5;0,04;Horror
45291e8y-5116-4068-9168-545eeyfaf691;67;Female;Standard;1,02;20;Europe;Laptop;13,99;Gift Card;1;0,05;Sci-Fi
00477256-578x-4azx-8ex8-3a5e75539e7a;53;Female;Premium;1,36;35;South America;Mobile;17,99;Gift Card;2;0,04;Romance
a8f0268f-yz07-4y40-9fxe-xze0f1y737fy;40;Male;Premium;12,26;3;North America;Mobile;17,99;Debit Card;5;3,06;Romance
3z237337-1044-4e5x-a612-e1a9e5f6ez36;56;Other;Premium;1,43;16;Europe;Laptop;17,99;Debit Card;2;0,08;Action
80e4a598-68z9-48e1-8zy0-4xzfa54x769e;35;Female;Basic;26,9;49;South America;Desktop;8,99;Gift Card;2;0,54;Drama
33563x42-7f51-405y-8328-8yx881128656;54;Male;Basic;3,13;16;Oceania;TV;8,99;Credit Card;5;0,18;Drama
4949efaa-ze29-41yy-a0ee-683eaa53f442;19;Other;Basic;3,72;11;Asia;Desktop;8,99;Crypto;5;0,31;Documentary
4yea2a42-ffxf-49e0-a1y0-5a13z3zxffe3;28;Male;Premium;16,17;46;Africa;Laptop;17,99;Crypto;4;0,34;Horror
e301zzzy-80e3-4e8a-9016-545az980z0yf;19;Other;Basic;5,18;43;Europe;Tablet;8,99;PayPal;4;0,12;Horror
5945xy09-1z5z-4511-ay0x-20135699628e;34;Male;Basic;1,89;59;Asia;Tablet;8,99;Credit Card;5;0,03;Action
69281385-44f2-48fz-azf2-xy483ee5ze8z;19;Male;Premium;8,03;1;Asia;TV;17,99;Gift Card;3;4,01;Drama
844f2522-32e3-4f44-a960-yx0y13881618;45;Other;Basic;3,4;27;North America;Laptop;8,99;Crypto;3;0,12;Sci-Fi
8zy108x0-xxz9-4aa9-8y28-081008f38yz6;50;Other;Basic;0,11;1;South America;Tablet;8,99;Gift Card;2;0,06;Sci-Fi
7zz33e01-e208-48z0-9y0z-yx38833z1124;47;Female;Standard;40,12;55;Africa;Desktop;13,99;PayPal;1;0,72;Action
21f1a30f-ff82-424y-z085-7770795446y1;40;Female;Standard;32,88;36;South America;Desktop;13,99;Crypto;4;0,89;Sci-Fi
5fa579a5-f777-4206-98y3-xe5x03627y6y;41;Female;Standard;6,26;16;Oceania;Tablet;13,99;Crypto;4;0,37;Action
ffxaxe4e-x794-42ye-a50x-25f0a5729e88;48;Other;Premium;16,78;2;Europe;Mobile;17,99;PayPal;1;5,59;Drama
e8fxa88a-2847-4yz4-z5a0-z7f0y3454405;67;Other;Standard;3,29;25;North America;Tablet;13,99;Crypto;1;0,13;Documentary
e19a5270-f0e0-4586-8893-ya3fazxy2fy8;59;Female;Basic;20,11;40;South America;Desktop;8,99;PayPal;2;0,49;Sci-Fi
46fe1ez8-y6f9-4zx4-8a9a-x91919ex031a;60;Female;Standard;19,36;45;South America;Desktop;13,99;Debit Card;2;0,42;Drama
6735x050-2af6-4030-z34f-9687az1a8914;33;Male;Basic;2,27;20;South America;Desktop;8,99;Debit Card;3;0,11;Romance
629a11x7-4zx9-4698-z40f-8638ffx900y7;24;Female;Basic;2,42;56;Europe;Tablet;8,99;Crypto;3;0,04;Comedy
39287652-yx55-45x3-99zy-5z4917558f5e;23;Other;Basic;10,85;13;North America;Mobile;8,99;PayPal;3;0,78;Romance
071f4az9-z7y8-42z9-9571-xay40f75fe29;34;Male;Premium;9,59;28;Europe;Mobile;17,99;PayPal;4;0,33;Action
ezfz8aef-3yz5-40e2-9eex-15a73a544x43;30;Male;Premium;7,24;40;Asia;TV;17,99;Debit Card;5;0,18;Documentary
1ye9139z-2013-4a00-z77f-fzaz1z020a00;69;Male;Standard;7,85;43;Europe;TV;13,99;Gift Card;5;0,18;Action
9fzxx1e9-64e2-41a4-8753-fz3412zea228;70;Female;Basic;6,8;6;North America;Mobile;8,99;Debit Card;4;0,97;Action
76x56597-xfz2-4223-845f-z8ff46z00yyx;42;Male;Premium;0,88;33;Oceania;Laptop;17,99;Credit Card;1;0,03;Comedy
7xa43629-4y0f-49ff-8zf2-047e7x6ff102;34;Male;Premium;12,48;53;Asia;Tablet;17,99;Gift Card;2;0,23;Comedy
fz2804xf-yz81-4735-a73z-15241x47z179;51;Female;Premium;2,04;6;South America;TV;17,99;Debit Card;2;0,29;Drama
fx5y0z28-152x-47e2-zy46-y8xz8ez99985;27;Other;Premium;4,57;24;Africa;Laptop;17,99;Gift Card;4;0,18;Documentary
54ff35f5-4z7x-4740-a2z3-4755a628e79a;19;Male;Standard;19,23;20;Oceania;Laptop;13,99;Debit Card;3;0,92;Romance
8af34fa6-55x3-4e2f-zz67-94x27za89512;18;Other;Standard;16,81;56;Oceania;Tablet;13,99;Credit Card;2;0,29;Drama
4az4899e-8602-4207-8x66-z1x0037f9061;23;Other;Premium;8,17;38;Europe;Desktop;17,99;PayPal;3;0,21;Documentary
x0882378-87e1-4f8y-ae52-9z4y6650ex1x;23;Male;Basic;7,09;32;Europe;TV;8,99;Credit Card;2;0,21;Romance
95506f85-ay7y-441f-9653-2ff87e09yf22;50;Female;Premium;7,92;58;Asia;Desktop;17,99;Gift Card;4;0,13;Drama
78f24x23-96y3-46zf-a87a-fz61569fy00z;54;Other;Standard;10,1;40;Oceania;TV;13,99;PayPal;5;0,25;Horror
3x2a67z3-9yxz-4e45-9066-27e51x45yz66;68;Female;Basic;9,07;32;Africa;TV;8,99;Crypto;3;0,27;Romance
a8582720-4x1y-4377-8ze1-a414zy51938x;70;Other;Basic;2,24;50;Europe;Laptop;8,99;PayPal;5;0,04;Documentary
6ax7f0z7-91f7-4y49-9x03-085ye4845y8e;28;Male;Basic;11,25;52;Europe;Laptop;8,99;PayPal;5;0,21;Action
a9zz3y30-19x3-4f1y-az31-2749363xe6ya;37;Male;Standard;31,31;53;South America;Mobile;13,99;Gift Card;1;0,58;Sci-Fi
6517898e-2y6a-4f44-a25a-33272efxy08x;51;Female;Premium;8,32;48;Europe;TV;17,99;Credit Card;2;0,17;Horror
ye63z3yf-0x7a-499f-a1x7-5ee3a26a0257;18;Female;Premium;6,8;20;South America;Laptop;17,99;Credit Card;4;0,32;Drama
5911a679-yxz3-4yyy-8ye8-491fz5a5f538;25;Female;Basic;18,4;55;Asia;TV;8,99;Debit Card;4;0,33;Drama
8f45y680-7x92-47y2-910e-2e4y69803700;33;Other;Basic;44,72;7;Oceania;Tablet;8,99;PayPal;4;5,59;Horror
9141433x-3463-435x-9z27-87x08766f03x;30;Female;Premium;3,61;43;Africa;Tablet;17,99;PayPal;4;0,08;Comedy
5131e34f-e327-4746-9132-241x79255eyy;22;Male;Premium;10,68;60;Africa;Tablet;17,99;Debit Card;5;0,18;Action
8a93y9a8-86x1-4fz8-9f0f-89ff6671601a;40;Other;Basic;8,13;4;Oceania;Tablet;8,99;Gift Card;4;1,63;Romance
61e92891-z875-4291-8e37-00x10z069367;44;Male;Premium;38,18;49;Oceania;TV;17,99;Gift Card;3;0,76;Documentary
y96e98a2-6211-4466-9096-6y389ef0143a;68;Male;Basic;1,83;0;Africa;Mobile;8,99;Debit Card;5;1,83;Horror
xx0xx66z-z4e4-4077-z128-50039z87y68f;24;Female;Basic;47,9;21;Oceania;Laptop;8,99;Debit Card;4;2,18;Romance
9945eez5-7747-4y17-a171-35zfxe1z29ff;34;Female;Standard;3,85;55;South America;Desktop;13,99;Gift Card;3;0,07;Romance
e3e9y377-2yz7-4ey4-a85a-f59z9e6f298x;62;Female;Basic;1,55;17;South America;Tablet;8,99;Debit Card;2;0,09;Action
01zyy59z-2ffe-4146-9y55-05195y1zfx4f;29;Female;Standard;7,46;58;Asia;Tablet;13,99;Credit Card;5;0,13;Drama
66ee8z3e-54x4-47z0-9zxf-a9830a3ze6f0;62;Female;Basic;6,67;47;North America;TV;8,99;Gift Card;2;0,14;Documentary
042y6x84-17fa-4y97-a537-xyy1ezfy9z19;20;Female;Premium;4,57;17;South America;Laptop;17,99;Gift Card;1;0,25;Comedy
37zf780f-45y1-471y-8158-9f211fzf9e0a;60;Female;Standard;1,03;2;Asia;Tablet;13,99;PayPal;5;0,34;Documentary
57zea9zz-8e3z-4a70-831z-89ey71163a30;25;Other;Standard;6,71;2;Africa;Tablet;13,99;Credit Card;4;2,24;Sci-Fi
ea197301-eyy0-4z24-z3f2-f9y7aa3efyyf;57;Male;Standard;12,95;27;North America;TV;13,99;Gift Card;4;0,46;Horror
31xaz47e-x021-4x4z-8284-98460539ef0a;47;Male;Standard;3,92;58;Africa;Tablet;13,99;PayPal;5;0,07;Horror
339zx217-4512-4fye-8e0f-a8ee2938f548;54;Male;Basic;24,44;28;North America;Laptop;8,99;Gift Card;4;0,84;Drama
e4696783-z60x-40f9-8556-z6aaya0439zz;34;Female;Standard;28,76;11;North America;Mobile;13,99;PayPal;2;2,4;Documentary
6131z5ay-7xaf-4a54-9f44-63fe0fyya85f;52;Male;Standard;1,35;7;Asia;TV;13,99;Crypto;1;0,17;Action
y81za12a-e438-42fy-9x0a-045fz8a0e87a;53;Other;Premium;0,25;50;Asia;Tablet;17,99;PayPal;1;0;Romance
x9706e06-14zf-475y-aez6-1eaaf5a3xx1z;68;Female;Premium;10,27;55;North America;Tablet;17,99;PayPal;4;0,18;Horror
xz2af8yz-89e8-4x68-z1z4-6620a2x5x041;68;Male;Premium;52,22;4;North America;Laptop;17,99;Gift Card;1;10,44;Romance
z84y61ze-3xzf-4706-9ay0-zf2y77z54xxe;55;Other;Standard;7,61;37;North America;Mobile;13,99;PayPal;1;0,2;Comedy
29y66269-9ffx-4y33-a193-ye878aaxx03e;31;Male;Basic;11,05;51;North America;TV;8,99;PayPal;1;0,21;Horror
5515ze5y-4926-4e19-azzf-6f2f6y8xa2ay;30;Other;Standard;17,22;5;South America;Laptop;13,99;PayPal;1;2,87;Horror
